id,code,zip_sat_code/id,name
res_colonia_zip_sat_code_260,1,zip_sat_code_41635,Villas Terranova
res_colonia_zip_sat_code_261,1,zip_sat_code_41670,El Salto
res_colonia_zip_sat_code_262,1,zip_sat_code_41705,Rosendo G. Castro
res_colonia_zip_sat_code_263,1,zip_sat_code_41862,Huerta Vieja
res_colonia_zip_sat_code_264,1,zip_sat_code_41872,Villas Andalucía
res_colonia_zip_sat_code_265,1,zip_sat_code_42015,Rincón de San Vicente
res_colonia_zip_sat_code_266,1,zip_sat_code_42059,San Andrés Cohamiata
res_colonia_zip_sat_code_267,1,zip_sat_code_42091,Verde
res_colonia_zip_sat_code_268,1,zip_sat_code_42142,Huizaista
res_colonia_zip_sat_code_269,1,zip_sat_code_42191,El Pastor
res_colonia_zip_sat_code_270,1,zip_sat_code_42261,Achimec
res_colonia_zip_sat_code_271,1,zip_sat_code_42300,Guadalupe
res_colonia_zip_sat_code_272,1,zip_sat_code_42458,Rinconada Casa Blanca
res_colonia_zip_sat_code_273,1,zip_sat_code_42600,Las Victorias
res_colonia_zip_sat_code_274,1,zip_sat_code_42845,Los Pericos
res_colonia_zip_sat_code_275,1,zip_sat_code_42922,Gallineros
res_colonia_zip_sat_code_276,1,zip_sat_code_42969,El Tasajal
res_colonia_zip_sat_code_277,1,zip_sat_code_43122,El Bueyero
res_colonia_zip_sat_code_278,1,zip_sat_code_43171,La Garita
res_colonia_zip_sat_code_279,1,zip_sat_code_43245,San Ignacio de Abajo
res_colonia_zip_sat_code_280,1,zip_sat_code_43255,Loma Linda
res_colonia_zip_sat_code_281,1,zip_sat_code_43515,Paseos del Sol
res_colonia_zip_sat_code_282,1,zip_sat_code_43550,Las Amarillas
res_colonia_zip_sat_code_283,1,zip_sat_code_43559,San José
res_colonia_zip_sat_code_284,1,zip_sat_code_43580,San Antonio
res_colonia_zip_sat_code_285,1,zip_sat_code_43605,El Árbol
res_colonia_zip_sat_code_286,1,zip_sat_code_43740,San Marcos
res_colonia_zip_sat_code_287,1,zip_sat_code_43887,San Isidro
res_colonia_zip_sat_code_288,1,zip_sat_code_43898,Las Bugambilias
res_colonia_zip_sat_code_289,1,zip_sat_code_43944,Paso de Guadalupe
res_colonia_zip_sat_code_290,1,zip_sat_code_43971,Los Arrayanes
res_colonia_zip_sat_code_291,1,zip_sat_code_44232,Los Encinos
res_colonia_zip_sat_code_292,1,zip_sat_code_44252,Los Llanitos
res_colonia_zip_sat_code_293,1,zip_sat_code_44402,Naranjitos (Arroyo Seco)
